Variable / Field Name,Form Name,Section Header,Field type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
dx_hosp_image_ecg_cnt,summativediagnostics,"Imaging. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",text,Total number of electrocardiograms (ECGs) available for upload,,,integer,0,30,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_hosp_image_pocus_cnt,summativediagnostics,"Imaging. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",text,"Total number of informal/point-of-care ultrasounds with stored images available (includes echocardiagrams, lung ultrasound, and other informal point-of-care ultrasound)",,"Do not include formal ultrasonography, only informal, point-of-care, or ""clinician performed"" imaging",integer,0,60,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_hosp_image_tele_cnt,summativediagnostics,"Imaging. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",text,Total number of telemetry files for upload,,,integer,0,100,,,,,,,, @HIDDEN
dx_hosp_image_tte_cnt,summativediagnostics,"Imaging. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",text,Total number of formal echocardiagrams (TEE or TTE) available for upload,,Do not include point-of-care (informal) echocardiograms,integer,0,30,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_micro_otherresp,summativediagnostics,"Microbiology testing. Obtain from review of discharge, interim, and transfer summaries and microbiology and laboratory results. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",yesno,Other respiratory pathogens detected via molecular testing?,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_micro_resp_cx_bact,summativediagnostics,"Microbiology testing. Obtain from review of discharge, interim, and transfer summaries and microbiology and laboratory results. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",yesno,True positive bacterial pulmonary culture?,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_micro_resp_cx_fungal,summativediagnostics,"Microbiology testing. Obtain from review of discharge, interim, and transfer summaries and microbiology and laboratory results. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",yesno,True positive fungal pulmonary culture?,,,,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
dx_micro_resp_spec,summativediagnostics,"Microbiology testing. Obtain from review of discharge, interim, and transfer summaries and microbiology and laboratory results. If patient is transferred between hospitals within your hospital system, review data from all available hospitalizations to answer summative questions.",notes,Specify culture(s) or other result,,,,,,,"((([dx_micro_resp_other(99)] = ""1"" OR [dx_micro_resp_cx_bact] = ""1"" OR [dx_micro_resp_cx_fungal] = ""1"") OR [dx_micro_resp_spec]<>'') AND (([enroll_coral] = '1' OR [enroll_coralreef]='1')))",y,,,,,
email,contact_information,Subject contact information for follow up. Stored locally unless needed for long-term follow up.Leave blank if unavailable,text,Primary email,,,email,,,y,"((([dispo] <> ""0"" AND [dispo_death_date] = """" AND [dispo_late_death_yn] <> ""1"") OR [email]<>'') AND ((([elig_eval_coral] = '2' AND [enroll_coral] = '1') OR [email]<>'')))",,,,,,
hb_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Haemoglobin on admission available?,"if([lab_hosp_first_hgb]='-99', '0', if([lab_hosp_first_hgb]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
hb_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Haemoglobin Unit,"if([lab_hosp_first_hgb]='-99', '', if([lab_hosp_first_hgb]<>'', '9', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_date,inclusion,Study enrollment,text,CORAL enrollment date,,Enter the date a study ID is assigned,date_mdy,10/01/2019,31/12/2023,y,((([enroll_coral] = '1') AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))) OR [enroll_coral_date]<>''),y,,,,,
wbc_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,WBC count on admission available?,"if([lab_hosp_first_wbc]='-99', '0', if([lab_hosp_first_wbc]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
wbc_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,WBC count Unit,"if([lab_hosp_first_wbc]='-99', '', if([lab_hosp_first_wbc]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
haematocrit_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Haematocrit on admission available?,"if([lab_hosp_first_hct]='-99', '0', if([lab_hosp_first_hct]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
plt_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Platelets on admission available?,"if([lab_hosp_first_platelet]='-99', '0', if([lab_hosp_first_platelet]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
plt_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Platelets Unit,"if([lab_hosp_first_platelet]='-99', '', if([lab_hosp_first_platelet]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
aptt_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,APTT/APTR on admission available?,"if([lab_hosp_first_ptt]='-99', '0', if([lab_hosp_first_ptt]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
pt_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,PT on admission available?,"if([lab_hosp_first_pt]='-99', '0', if([lab_hosp_first_pt]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
inr_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,INR on admission available?,"if([lab_hosp_first_inr]='-99', '0', if([lab_hosp_first_inr]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
alt_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,ALT/SGPT on admission available?,"if([lab_hosp_first_alt]='-99', '0', if([lab_hosp_first_alt]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
alt_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,ALT/SGPT Unit,"if([lab_hosp_first_alt]='-99', '', if([lab_hosp_first_alt]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
bil_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Total Bilirubin on admission available?,"if([lab_hosp_first_bili]='-99', '0', if([lab_hosp_first_bili]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
bil_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Total Bilirubin Unit,"if([lab_hosp_first_bili]='-99', '', if([lab_hosp_first_bili]<>'', '9', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_note_n,inclusion,Study enrollment,descriptive,NOT eligible for CORAL. CORAL eligibility requires (1) a positive COVID-19 test result and (2) an associated hospital admission and (3) clinical signs/symptoms of COVID-19 disease in patients who are not prisoners.,,,,,,,(([cx_covid_pos_ever_yn] = '0' OR [admit_yn] = '0' OR [cx_covid_yn]='0' OR [elig_prisoner] = '1' OR [elig_priorenroll] = '1' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR ([elig_eval_coral] ='2' AND ([admit_cause] = '0' OR [elig_cmo] = '1'))) AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
ast_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,AST/SGOT on admission available?,"if([lab_hosp_first_ast]='-99', '0', if([lab_hosp_first_ast]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ast_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,AST/SGOT Unit,"if([lab_hosp_first_ast]='-99', '', if([lab_hosp_first_ast]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_note_yblue,inclusion,Study enrollment,descriptive,Eligible for BLUE CORAL. BLUE CORAL eligibility requires (1) a positive COVID-19 test result and (2) an associated hospital admission and (3) clinical signs/symptoms of COVID-19 disease in patients who are not prisoners. BLUE CORAL eligibility additionally requires that (1) patient is  enrolled within 48 hours of meeting enrollment criteria; (2) COVID-19 disease contributed to need for hospital admission; and (3) patient is not CMO at the time of screening.,,,,,,,(([cx_covid_pos_ever_yn] = '1' AND [admit_yn] = '1' AND [cx_covid_yn]='1' AND ([elig_fever] = '1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR [elig_ari] ='1') AND [elig_prisoner]='0' AND [elig_priorenroll]='0' AND [elig_eval_coral] = '2' AND [admit_cause] = '1' AND [elig_cmo] ='0') AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
bun_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Urea (BUN) on admission available?,"if([lab_hosp_first_bun]='-99', '0', if([lab_hosp_first_bun]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
bun_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Urea (BUN) Unit,"if([lab_hosp_first_bun]='-99', '', if([lab_hosp_first_bun]<>'', '9', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_note_yredexp,inclusion,Study enrollment,descriptive,Eligible for RED CORAL with DETAILED data collection. RED CORAL eligibility requires (1) a positive COVID-19 test result and (2) an associated hospital admission and (3) clinical signs/symptoms of COVID-19 disease in patients who are not prisoners. Detailed RED CORAL data collection eligibility additionally requires patient is admitted to ICU at some point during their hospitalization and that COVID-19 disease contributed to need for hospital admission.,,,,,,,(([cx_covid_pos_ever_yn] = '1' AND [admit_yn] = '1' AND [cx_covid_yn]='1' AND ([elig_fever] = '1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR [elig_ari] ='1') AND [elig_prisoner]='0' AND [elig_priorenroll]='0' AND [elig_eval_coral] = '1' AND [admit_cause] = '1' AND [elig_icu] ='1') AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
lactate_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Lactate on admission available?,"if([lab_hosp_first_lactate]='-99', '0', if([lab_hosp_first_lactate]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
lactate_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Lactate Unit,"if([lab_hosp_first_lactate]='-99', '', if([lab_hosp_first_lactate]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
creat_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Creatinine on admission available?,"if([lab_hosp_first_cr]='-99', '0', if([lab_hosp_first_cr]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
creat_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Creatinine Unit,"if([lab_hosp_first_cr]='-99', '', if([lab_hosp_first_cr]<>'', '9', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_note_yredfoc,inclusion,Study enrollment,descriptive,Eligible for RED CORAL but *NOT* detailed data collection. RED CORAL eligibility requires (1) a positive COVID-19 test result and (2) an associated hospital admission and (3) clinical signs/symptoms of COVID-19 disease in patients who are not prisoners. Detailed RED CORAL data collection eligibility additionally requires patient is admitted to ICU at some point during their hospitalization and that COVID-19 disease contributed to need for hospital admission.,,,,,,,(([cx_covid_pos_ever_yn] = '1' AND [admit_yn] = '1' AND [cx_covid_yn]='1' AND ([elig_fever] = '1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR [elig_ari] ='1') AND [elig_prisoner]='0' AND [elig_priorenroll]='0' AND [elig_eval_coral] = '1' AND ([admit_cause] = '0' OR [elig_icu] ='0')) AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
sodium_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Sodium on admission available? ,"if([lab_hosp_first_na]='-99', '0', if([lab_hosp_first_na]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
sodium_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Sodium Unit,"if([lab_hosp_first_na]='-99', '', if([lab_hosp_first_na]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
potassium_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Potassium on admission available?,"if([lab_hosp_first_k]='-99', '0', if([lab_hosp_first_k]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
potassium_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Potassium Unit,"if([lab_hosp_first_k]='-99', '', if([lab_hosp_first_k]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
procal_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Procalcitonin on admission available?,"if([lab_hosp_first_pct]='-99', '0', if([lab_hosp_first_pct]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
procal_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Procalcitonin Unit,"if([lab_hosp_first_pct]='-99', '', if([lab_hosp_first_pct]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
crp_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,CRP on admission available?,"if([lab_hosp_first_crp]='-99', '0', if([lab_hosp_first_crp]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
crp_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,CRP Unit,"if([lab_hosp_first_crp]='-99', '', if([lab_hosp_first_crp]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ldh_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,LDH on admission available?,"if([lab_hosp_first_ldh]='-99', '0', if([lab_hosp_first_ldh]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ldh_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,LDH Unit,"if([lab_hosp_first_ldh]='-99', '', if([lab_hosp_first_ldh]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
crekin_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Creatine kinase on admission available?,"if([lab_hosp_first_ck]='-99', '0', if([lab_hosp_first_ck]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
crekin_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Creatine kinase Unit,"if([lab_hosp_first_ck]='-99', '', if([lab_hosp_first_ck]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
troponin_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Troponin on admission available?,"if([lab_hosp_first_trop]='-99', '0', if([lab_hosp_first_trop]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
troponin_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Troponin Unit,"if([lab_hosp_first_trop]='-99', '', if([lab_hosp_first_trop]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
esr_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,ESR on admission available?,"if([lab_hosp_first_esr]='-99', '0', if([lab_hosp_first_esr]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
esr_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,ESR Unit,"if([lab_hosp_first_esr]='-99', '', if([lab_hosp_first_esr]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ddimer_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,D-dimer on admission available?,"if([lab_hosp_first_ddimer]='-99', '0', if([lab_hosp_first_ddimer]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ddimer_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,D-dimer Unit,"if([lab_hosp_first_ddimer]='-99', '', if([lab_hosp_first_ddimer]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ferritin_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Ferritin on admission available?,"if([lab_hosp_first_ferritin]='-99', '0', if([lab_hosp_first_ferritin]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
ferritin_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,Ferritin Unit,"if([lab_hosp_first_ferritin]='-99', '', if([lab_hosp_first_ferritin]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
il6_lbyn,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,IL-6 on admission available?,"if([lab_hosp_first_il6]='-99', '0', if([lab_hosp_first_il6]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
il6_lborresu,baselineinitial_labs,Variables auto-calculated or defaulted for ISARIC mapping,calc,IL-6 Unit,"if([lab_hosp_first_il6]='-99', '', if([lab_hosp_first_il6]<>'', '1', ''))",,,,,,,y,,,,, @HIDDEN
enroll_coral_warn,inclusion,Study enrollment,descriptive,STOP. Data entered above suggests patient is NOT eligible for  CORAL. Please reconfirm eligibility and/or enrollment status.,,,,,,,([enroll_coral] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR [admit_yn] = '0' OR [cx_covid_yn]='0' OR [elig_prisoner] = '1' OR [elig_priorenroll] = '1' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR ([admit_yn] = '1' AND [cx_covid_pos_ever_yn] = '1' AND  ([elig_cough] = '1' OR [elig_dyspnea] = '1' OR [elig_fever] = '1' OR [elig_ari] = '1') AND ([elig_eval_coral] = '0' OR ([elig_eval_coral] ='2' AND ([admit_cause] = '0' OR [elig_cmo] = '1'))))) AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
enroll_coralreef_warn,inclusion,Study enrollment,descriptive,"Data entered above suggests patient is NOT eligible for RED CORAL detailed data collection. Detailed data collection for this patient is optional. As needed, please reconfirm eligibility and/or enrollment status.",,,,,,,([enroll_coralreef]='1' AND ([cx_covid_pos_ever_yn] = '0' OR [admit_yn] = '0' OR [cx_covid_yn]='0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_prisoner]='1' OR [elig_priorenroll]='1' OR [admit_cause] = '0' OR ([elig_eval_coral] = '1' AND [elig_icu] = '0') OR ([elig_eval_coral] = '2' AND [elig_cmo] = '1')) AND ([studysite_petal] <> '' AND ([cx_covid_yn] = '0' OR ([cx_covid_yn] = '1' AND ([cx_covid_pos_ever_yn] = '0' OR ([cx_covid_pos_ever_yn] = '1' AND [cx_covid1_pos_yn] <>'')))) AND ([admit_yn] = '0' OR ([admit_yn] = '1' AND [admit_cause] <> '')) AND  [elig_fever] <> '' AND [elig_cough] <> '' AND [elig_dyspnea] <> '' AND ([elig_fever]='1' OR [elig_cough] = '1' OR [elig_dyspnea] = '1' OR  [elig_ari] <> '') AND ([admit_yn] = '0' OR [cx_covid_pos_ever_yn] = '0' OR (([elig_fever] = '0' OR [elig_fever] = '9') AND ([elig_cough] = '0' OR [elig_cough] = '9') AND ([elig_dyspnea] = '0' OR [elig_dyspnea] = '9') AND [elig_ari] ='0') OR [elig_eval_coral]= '0' OR ([elig_eval_coral] = '1' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND [elig_icu]<>'') OR ([elig_eval_coral] = '2' AND [elig_priorenroll] <> '' AND [elig_prisoner]<>'' AND ([elig_cmo] <> '' OR [admit_cause] = '0'))))),,,,,,
tx_hosp_24h_icu,baselineinitial_support_tx,Supportive care treatments within 24 hours of hospital arrival,radio,ICU or ICU step-down/intermediate care unit admission,"1, ICU | 2, IMCU/step-down| 0, No","If admitted to both IMCU and ICU (e.g. transferred from IMCU to ICU within 24 hours), select ICU. <br><br>""ICU"" can include surge, ad hoc, and temporary ICUs.",,,,,(([enroll_coral] = '1' OR [enroll_coralreef]='1')),y,,,,,
